MOHICANO       ;;ESTADO DE PERDIDA Y GANANCIA ACUMULADO PERIODO 2026;
;
;LIN;ESTADO DE RESULTADO;ENERO     ;FEBRERO   ;MARZO     ;ABRIL     ;MAYO      ;JUNIO     ;JULIO     ;AGOSTO    ;SEPTIEMBRE;OCTUBRE   ;NOVIEMBRE ;DICIEMBRE ;ACUMULADO
;CUENTA;NOMBRE DE LA CUENTA;
;
;01;INGRESOS DE LA EXPLOTACION              ;55250175;132230937;219871379;184114530;108985312;150758770;120120214;0;0;0;0;0;971331317
;410101   ;Ventas por Mayor                        ;25813527;102708733;180577661;165982269;56478389;94807035;76365306;0;0;0;0;0;
;410102   ;Ventas al Detalle                       ;4343170;4280650;6978874;10844968;9187135;8647401;7546244;0;0;0;0;0;
;410103   ;Servicios de Lavanderia                 ;838950;1668720;1440780;3709706;166399;445810;2016292;0;0;0;0;0;
;410104   ;Venta Magic World                       ;10100520;7396074;20733207;25020348;26346852;30786382;8131482;0;0;0;0;0;
;410105   ;VENTAS FC/MANUAL TDF                    ;14154008;16176760;10140857;-21442761;16806537;16072142;26060890;0;0;0;0;0;

;02;COSTO DE LA EXPLOTACION                 ;148923086;21662322;72679017;104569746;77473665;111415437;95958826;0;0;0;0;0;632682099
;520101   ;Insumos                                 ;1854800;4740041;9490575;10442228;10844310;9005288;21512065;0;0;0;0;0;
;520102   ;Elementos-Herram.Trabajo                ;0;0;0;0;8320;0;3580;0;0;0;0;0;
;520103   ;Costos de Producción                    ;144426652;15883000;61753076;91362053;64736904;98384337;71165860;0;0;0;0;0;
;520105   ;Repuestos-Mantención Maquinaria         ;659096;123750;804393;1477500;203529;1050000;2297994;0;0;0;0;0;
;520106   ;Gastos de Diseño (Modelista)            ;0;275000;0;0;0;253470;0;0;0;0;0;0;
;520108   ;Servicio Externo                        ;1982538;640531;630973;1287965;1623080;2137727;979327;0;0;0;0;0;
;520114   ;Gastos de Planchado                     ;0;0;0;0;57522;0;0;0;0;0;0;0;
;520310   ;Contribuciones Provisioria              ;0;0;0;0;0;584615;0;0;0;0;0;0;

;
;03;MARGEN DE LA EXPLOTACION                ;-93672911;110568615;147192362;79544784;31511647;39343333;24161388;0;0;0;0;0;338649218

;
;04;GASTOS DE ADMINISTRACION                ;101018085;74925672;77796267;81175557;54307172;54091571;58432072;-14378903;0;0;0;0;487367493
;520104   ;Gastos Flete Aereo y Terreste Nac. e Int;5248910;5861297;5795880;6554291;5911951;5767850;5762647;0;0;0;0;0;
;520112   ;Otros Gastos                            ;1900;0;13174;0;0;0;0;0;0;0;0;0;
;520202   ;Seguridad y Monitoreo                   ;1075379;1075512;1024900;1026497;588235;1478383;946034;0;0;0;0;0;
;520203   ;Insumos Computacioneles-Tecnologiicos   ;75000;33605;53175;520317;705849;528781;1056159;0;0;0;0;0;
;520205   ;Asesorías Servicios de Contabilidad     ;783750;783750;783750;1567500;783750;783750;783750;0;0;0;0;0;
;520206   ;Asesorías Legales                       ;834303;756303;756303;756303;784286;784286;784286;0;0;0;0;0;
;520207   ;Asesorías y Serv. Informáticos          ;899777;1124073;774245;578624;980291;1094056;1083105;0;0;0;0;0;
;520208   ;Asesorías Comerciales e Inversión       ;297183;297051;312960;328581;329763;302479;325810;0;0;0;0;0;
;520209   ;Correspondencia                         ;4740;0;7800;21484;0;0;0;0;0;0;0;0;
;520210   ;Gastos Agua                             ;730935;254416;1358752;554498;691198;578179;333704;0;0;0;0;0;
;520211   ;Gastos Electricidad                     ;1411055;1125840;1917301;1665149;703573;2478294;959919;0;0;0;0;0;
;520212   ;Gastos Gas                              ;1292611;490052;627047;980456;1113087;930100;1208618;0;0;0;0;0;
;520214   ;Aporte AFP Empleador                    ;30686;29521;24929;25182;24223;24240;25432;0;0;0;0;0;
;520216   ;Seguro Instalaciones                    ;121391;6655234;6518125;3643726;3444326;3484142;3461238;0;0;0;0;0;
;520217   ;Insumos de Aseo                         ;82650;110511;154990;282034;71934;66270;187005;34630;0;0;0;0;
;520218   ;Insumos de Oficina-Escritorio           ;24080;75629;83505;16639;148053;4590;212608;10340;0;0;0;0;
;520224   ;Gastos de Importación                   ;47036;645122;1811965;151912;89603;0;329238;0;0;0;0;0;
;520226   ;Gastos de Imprenta                      ;48000;0;0;48000;0;0;0;0;0;0;0;0;
;520228   ;Gastos Mantención Inmueble              ;74853;2406793;1560671;-17815;34992;288779;197587;0;0;0;0;0;
;520242   ;Otros Gastos de Adminitración           ;306383;36228;45608;339141;218081;116175;189776;0;0;0;0;0;
;520248   ;Peajes y Estacionamiento                ;550;0;9920;4320;1350;7040;0;0;0;0;0;0;
;520253   ;GASTO FESTIVIDADES                      ;0;0;0;214277;0;0;0;0;0;0;0;0;
;520258   ;Otros Gastos de Adm. y Venta            ;177600;15000;0;0;0;0;0;0;0;0;0;0;
;520262   ;Devolución Mercaderia Cliente           ;43429;12605;0;25210;9850;31960;32000;0;0;0;0;0;
;520263   ;Seguro Acc. Personales                  ;37389;0;0;0;0;0;0;0;0;0;0;0;
;520266   ;Otros Gastos                            ;61571;0;88790;210840;95884;0;0;0;0;0;0;0;
;520268   ;Gastos x Seguridad Trabajadores         ;0;15248;0;0;8319;0;0;0;0;0;0;0;
;520269   ;Gastos Software y Licencia              ;0;0;0;0;50303;0;0;0;0;0;0;0;
;520301   ;Gastos Legales                          ;4600;0;51200;78500;2300;0;0;0;0;0;0;0;
;520304   ;Derechos de Marca                       ;670;0;29970;0;0;19980;0;0;0;0;0;0;
;520403   ;Anfitrionas y Modelos                   ;712447;0;100295;58997;395280;0;976516;0;0;0;0;0;
;520407   ;Asesoria Informática, Digital, otros    ;0;0;0;0;29750;0;0;0;0;0;0;0;
;520414   ;Asesorias Informatica IA                ;0;0;0;0;30000;0;0;0;0;0;0;0;
;520415   ;Marketing Otros                         ;0;0;321606;0;0;0;0;0;0;0;0;0;
;520501   ;Sueldos                                 ;27800257;30687369;22060401;22405891;22027973;22012521;22256478;0;0;0;0;0;
;520503   ;Mutual de Seguridad                     ;1174107;1124903;969411;978550;946807;951750;966822;0;0;0;0;0;
;520504   ;Bonos                                   ;1315268;1541304;1612131;1728601;1270293;1145003;1563141;0;0;0;0;0;
;520506   ;Finiquitos                              ;7347905;0;2510690;3000000;1000000;1000000;2733334;1500000;0;0;0;0;
;520507   ;Cesantia Empleador                      ;583703;571266;473038;478200;457168;441535;469193;0;0;0;0;0;
;520508   ;SIS Empleador                           ;487546;459178;385694;408839;399515;400240;509220;0;0;0;0;0;
;520509   ;SEGURO SOCIAL: Aporte FAPP              ;284929;268351;225408;227133;221954;222356;229149;0;0;0;0;0;
;520510   ;Gratificación                           ;5666140;5376694;4786603;4770448;4736669;4885230;5059971;0;0;0;0;0;
;520601   ;Honorarios Varios                       ;0;0;0;129794;825565;0;0;0;0;0;0;0;
;520602   ;Servicios Administrativos               ;0;0;589971;829889;589971;39331;0;0;0;0;0;0;
;520604   ;HONOR. PRACTICA PROFESIONAL             ;0;0;0;643154;355189;398026;411424;0;0;0;0;0;
;520605   ;Receptor Judicial                       ;0;0;0;0;0;0;114454;0;0;0;0;0;
;520701   ;Arriendos                               ;38600000;10000000;17348210;23251790;1300000;1300000;1300000;1300000;0;0;0;0;
;520802   ;Telefonía Móvil                         ;413172;120728;120391;121088;120860;122526;121752;0;0;0;0;0;
;520803   ;Internet                                ;182373;164170;157493;172264;162398;144448;166342;0;0;0;0;0;
;520901   ;Pasajes                                 ;0;0;0;0;0;0;337072;0;0;0;0;0;
;520902   ;Hoteles (Alojamiento)                   ;173090;316512;0;0;277143;0;636990;0;0;0;0;0;
